monomer_smiles,medium,solvent,monomer_state,polymer_state,delta_h,delta_s,doi
C=C1CCCOC1=O,solvent,toluene,s,s,-16.5,-45.1,10.1002/anie.202207105
C=C1CCOC1=O,solvent,dcm_d2,s,s,-5.9,-40.1,10.1021/jacs.6b07974
C=C1CCOC1=O,solvent,toluene,s,s,-21.1,-55.8,10.1016/j.chempr.2021.02.003
CC(C)(C)C1CCOC(=O)CC1,solvent,toluene_d8,s,s,12.7,-24.7,10.1038/s41467-023-38916-5
CC(C)(C)OC(=O)N1CCOC(=O)C1,solvent,C6D6,s,s,-19.63,-51.0,10.1021/ja503830c
CC(C)(C)OC(=O)N1C[C@H]2C[C@@H]1C(=O)S2,solvent,CDCl3,s,s,-15.6,-40.4,10.1021/jacs.9b00031
CC(C)C1CCOC(=O)CC1,solvent,toluene_d8,s,s,-14.8,-21.3,10.1038/s41467-023-38916-5
CC(C)[C@@H]1CC[C@@H](C)CC(=O)O1,solvent,toluene,l,l,-16.8,-27.4,10.1021/bm050076t
CC1(C)CCOC(=O)CC1,solvent,toluene_d8,s,s,-15.6,-22.4,10.1038/s41467-023-38916-5
CC1(C)COC(=O)OC1,solvent,THF,s,s,-21.3384,-43.932,10.1021/ma971227q
CC1(C)COC(=O)OC1,bulk,,l,l,-25.0,-51.7,10.1021/acscatal.5c01758
CC1(C)COC1=O,bulk,,l,c,-84.0,-74.0,10.1070/RC1996v065n12ABEH000265
CC1(C)COC2(CCOC(=O)CC2)OC1,solvent,toluene_d8,s,s,-18.5,-30.2,10.1038/s41467-023-38916-5
CC1(C)SCCSC1=O,solvent,CDCl3,s,s,-15.5,-47.2,10.1021/acs.macromol.4c02526
CC1(C)SCCSC1=O,solvent,CDCl3,s,s,-15.1,-47.4,10.1021/acs.macromol.4c02526
CC1(C)SCCSC1=O,solvent,CDCl3,s,s,-15.9,-47.4,10.1021/acs.macromol.4c02526
CC1(C)SCCSC1=O,solvent,CDCl3,s,s,-16.2,-47.5,10.1021/acs.macromol.4c02526
CC1(C)SCCSC1=O,solvent,CDCl3,s,s,-19.3,-58.4,10.1021/acsmacrolett.2c00319
CC1(C)[C@H]2CCC(=O)O[C@@H]1C2,solvent,toluene,s,s,-16.6,-23.9,10.1021/acs.macromol.4c02663
CC1(c2ccccc2)COC(=O)OC1,solvent,THF,s,s,-16.736,-40.5848,10.1021/ma971227q
CC1=CCC(=O)O1,bulk,,l,a,-33.41,-42.69,10.1080/23312009.2018.1443689
CC1CC(=O)O1,solvent,DCM,s,s,-13.63,-38.66,10.1002/1521-3935(20020401)203:5/6<889::AID-MACP889>3.0.CO;2-O
CC1CCC(=O)OC1,bulk,,l,a,-15.8,-45.0,10.1021/acs.macromol.6b00211
CC1CCCC(=O)O1,solvent,toluene,s,s,-17.1,-54.4,10.1038/s41467-024-52229-1
CC1CCCC(=O)O1,solvent,DCM,s,s,-13.8,-41.2,10.1002/1521-3935(20020401)203:5/6<889::AID-MACP889>3.0.CO;2-O
CC1CCCC(=O)O1,bulk,,l,a,-19.3,-62.0,10.1021/acs.macromol.6b00211
CC1CCCC(=O)O1,solvent,toluene,s,s,-13.1,-37.0,10.1021/acs.macromol.4c01469
CC1CCCOC1=O,bulk,,l,a,-13.0,-34.0,10.1021/acs.macromol.6b00211
CC1CCCOC1=O,solvent,toluene,s,s,-12.0,-27.2,10.1038/s41467-024-52229-1
CC1CCCSC1=O,solvent,CDCl3,s,s,-4.5,-26.2,10.1021/acsmacrolett.2c00319
CC1CCOC(=O)C1,solvent,toluene,s,s,-12.2,-40.1,10.1038/s41467-024-52229-1
CC1CCOC(=O)C1,bulk,,l,l,-13.8,-46.0,10.1073/pnas.1404596111
CC1CCOC(=O)CC1,solvent,toluene_d8,s,s,-16.2,-14.9,10.1038/s41467-023-38916-5
CC1CCOC(=O)O1,bulk,,l,l,-17.2,-40.7,10.1021/acscatal.5c01758
CC1COC(=O)CC(C)C1,solvent,toluene_d8,s,s,-20.0,-34.4,10.1038/s41467-023-38916-5
CC1COCC(=O)OCC(C)COCC(=O)OC1,solvent,toluene,,,0.5,23.0,10.1021/acs.macromol.9b00065
CC1OC(=O)C(C)OC1=O,bulk,,c,a,-8.7,31.3,10.1016/0032-3950(82)90455-5
CC1OC(=O)C(C)SC1=O,solvent,dcm,s,s,-12.3,-32.6,10.1002/cssc.202400134
CC1OC(=O)CCOC(=O)C(C)OC(=O)CCOC1=O,solvent,toluene,s,s,2.0,27.0,10.1021/acs.macromol.9b00065
CC1OCCC(=O)O1,bulk,,l,l,-11.6,-52.0,10.1021/mz5005794
CC1OCCOC1=O,bulk,,l,l,-9.85,-39.22,10.1002/pi.2871
CC1SC(=O)C(C)SC1=O,solvent,dcm,s,s,-4.92,-23.86,10.1002/anie.202109767
CC1SCCSC1=O,bulk,,l,a,-10.2,-39.9,10.1021/acsmacrolett.2c00319
CCC1(CC)COC(=O)OC1,solvent,THF,s,s,-18.4096,-45.6056,10.1021/ma971227q
CCC1(c2ccccc2)COC(=O)OC1,solvent,THF,s,s,-5.0208,-10.0416,10.1021/ma971227q
CCC1CCCC(=O)O1,bulk,,l,a,-16.4,-55.0,10.1021/acs.macromol.6b00211
CCC1CCCOC1=O,solvent,toluene,s,s,-10.9,-22.5,10.1038/s41467-024-52229-1
CCC1CCOC(=O)CC1,solvent,toluene_d8,s,s,-14.0,-14.0,10.1038/s41467-023-38916-5
CCCC1CCCC(=O)O1,bulk,,l,a,-18.5,-60.0,10.1021/acs.macromol.6b00211
CCCC1CCCOC1=O,solvent,toluene,s,s,-11.4,-23.3,10.1038/s41467-024-52229-1
CCCCC1CCCC(=O)O1,bulk,,l,a,-17.0,-55.0,10.1021/acs.macromol.6b00211
CCCCC1CCCOC1=O,solvent,toluene,s,s,-12.9,-27.7,10.1038/s41467-024-52229-1
CCCCCC1CCCC(=O)O1,bulk,,l,a,-18.0,-57.0,10.1021/acs.macromol.6b00211
CCCCCC1CCCC(=O)O1,solvent,toluene,s,s,-7.9,-34.1,10.1021/acs.macromol.4c01469
CCCCCC1CCCC(=O)O1,bulk,,l,l,-17.1,-54.0,10.1021/mz200006s
CCCCCC1CCCOC1=O,solvent,toluene,s,s,-12.1,-25.9,10.1038/s41467-024-52229-1
CCCCCCC1CCCC(=O)O1,bulk,,l,a,-18.4,-58.0,10.1021/acs.macromol.6b00211
CCCCCCC1CCCOC1=O,solvent,toluene,s,s,-13.3,-27.5,10.1038/s41467-024-52229-1
CCCCCCCC1CCCC(=O)O1,bulk,,l,a,-18.7,-59.0,10.1021/acs.macromol.6b00211
CCCCCCCCCC1CCCC(=O)O1,bulk,,l,a,-16.8,-55.0,10.1021/acs.macromol.6b00211
C[C@@H]1CC(=O)O[C@@H]2CCCC[C@H]2O1,solvent,trimethylbenzene,s,s,-14.2,-9.5,10.1002/anie.202302101
C[C@@H]1CC(=O)O[C@H]2CCCC[C@@H]2O1,solvent,trimethylbenzene,s,s,-8.7,-3.8,10.1002/anie.202302101
C[C@@H]1CC(=O)O[C@H]2CCC[C@@H]2O1,solvent,trimethylbenzene,s,s,-17.5,-11.3,10.1002/anie.202302101
C[C@@H]1CC(=O)O[C@H]2CCC[C@@H]2O1,solvent,trimethylbenzene,s,s,-12.6,-4.3,10.1002/anie.202302101
C[C@@H]1OC(=O)[C@H](C)OC1=O,bulk,,l,a,-19.0,-12.0,10.1016/j.eurpolymj.2014.11.038
C[C@@H]1OC(=O)[C@H](C)OC1=O,bulk,,l,a,-23.3,-22.0,10.1021/ma970631m
C[C@@H]1OC(=O)[C@H](C)OC1=O,solvent,"1,4-dioxane",s,s,-22.9,-25.03,10.1021/ma00208a012
C[C@@H]1OC(=O)[C@H](C)OC1=O,bulk,,l,l,-29.1,-40.74,10.1021/ma00208a012
C[C@@H]1OC(=O)[C@H](C)OC1=O,solvent,toluene,s,s,-23.7,-42.9,10.1021/acs.macromol.4c01469
C[C@@H]1OCCCOC(=O)[C@H](C)OCCCOC1=O,solvent,toluene,s,s,0.2,16.0,10.1021/ma000457t
Cc1cn([C@H]2C[C@H]3OC(=O)OC[C@H]3O2)c(=O)n(C)c1=O,solvent,"1,2-dichloroethane",s,s,-12.3,-29.0,10.1039/C7PY00118E
O=C1CCC2(CCO1)OCCCCO2,solvent,toluene_d8,s,s,-19.7,-41.9,10.1038/s41467-023-38916-5
O=C1CCC2(CCO1)OCCCO2,solvent,toluene_d8,s,s,-17.8,-27.9,10.1038/s41467-023-38916-5
O=C1CCC2(CCO1)OCCO2,solvent,toluene_d8,s,s,-17.0,-21.9,10.1038/s41467-023-38916-5
O=C1CCCCCCCC/C=C/CCCCCO1,solvent,toluene,s,s,0.9,38.5,10.1021/ma5015353
O=C1CCCCCCCCCCCCCCO1,bulk,,c,c,-39.0,-86.0,10.1016/0032-3950(83)90317-9
